feature_id,category,feature
863,actors,Barbara Stanwyck
864,actors,Barbara Sukowa
865,actors,Barbie Shu
866,actors,Barbra Streisand
867,actors,Barkhad Abdi
868,actors,Barnard Hughes
869,actors,Barney Clark (actor)
870,actors,Barret Oliver
871,actors,Barrie Chase
872,actors,Barrie Ingham
873,actors,Barry Bostwick
874,actors,Barry Corbin
875,actors,Barry Dennen
876,actors,Barry Fitzgerald
877,actors,Barry Foster (actor)
878,actors,Barry Gordon
879,actors,Barry Humphries
880,actors,Barry Keoghan
881,actors,Barry MacKay (actor)
882,actors,Barry McCaffrey
883,actors,Barry McEvoy
884,actors,Barry McGee
885,actors,Barry McGovern
886,actors,Barry Miller (actor)
887,actors,Barry Nelson (actor)
888,actors,Barry Newman
889,actors,Barry Otto
890,actors,Barry Pepper
891,actors,Barry Primus
892,actors,Barry Shabaka Henley
893,actors,Barry Sullivan (American actor)
894,actors,Barry Sullivan (actor)
895,actors,Barry Watson (actor)
896,actors,Barton MacLane
897,actors,Baruch Lumet
898,actors,Bas Rutten
899,actors,Basil Rathbone
900,actors,Basil Ruysdael
901,actors,Basil Sydney
902,actors,Bassem Youssef
903,actors,Beah Richards
904,actors,Beanie Feldstein
905,actors,Beanie Sigel
906,actors,Beatrice Campbell
907,actors,Beatrice Lillie
908,actors,Beatrice Straight
909,actors,Beau Bridges
910,actors,Beau Garrett
911,actors,Beau Knapp
912,actors,Bebe Daniels
913,actors,Bebe Neuwirth
914,actors,Beck Weathers
915,actors,Becky Fischer
916,actors,Becky G
917,actors,Beejan Land
918,actors,Bela Lugosi
919,actors,Belinda Bauer (actress)
920,actors,Bella Heathcote
921,actors,Bella Thorne
922,actors,Ben Affleck
923,actors,Ben Barnes (actor)
924,actors,Ben Browder
925,actors,Ben Burtt
926,actors,Ben Chaplin
927,actors,Ben Cross
928,actors,Ben Daniels
929,actors,Ben Davidson
930,actors,Ben Falcone
931,actors,Ben Feldman
932,actors,Ben Foster (actor)
933,actors,Ben Gazzara
934,actors,Ben Hollingsworth (actor)
935,actors,Ben Johnson (actor)
